output_batch_id,PAIRED,LOSS-VAC,FLOW-FAC,DBULK,PRESSURE,SHRINKAG,DPRES_LU,4PS (G),DSINTER,HV10,A2 15-20,A2 20-75,A275-125,A2 >125,MICRPO-A,MICRPO-B,MICRPO-C,HM25-75,HM75-125,HM>125,SM25-75,SM75-125,SM>125,CONTB 25,CONTB 75,CONTB125,CONTB175,AGB15-20,AGB20-75,AGB75-12,AGB >125,SUM15-20,SUM20-75,BATCH_NB,4PS (S),HC,T°C_SINT,OVEN_BAT,TRS,%CTOT_LU,CO%,CR2N%,TIC%,TANBC60%,MO2C%,NI%,WC%,VC%,CONTR 25,CONTR 75,CONTR125,LOSS-H2,FS_AS_V,FSASTM_V,%CTOT_V,%CFREE_V,%O_V,D10_ASTM,D50_ASTM,D90_ASTM,BET_V
10321,65340.0,1.763521525,4.318948651,3.481156953,1570.122241,21,8.392024503,151.9341705,14.61939394,1400.634933,5.472057586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00878695,0.0,0.079529788,0.001050883,0.0,0.0,0.004211736,0.000924738,0.0,0.014431281,1.008336168,0.002096506,0.0,5.492331493,0.932395239,64283.59879,158.7784918,156.1207284,1420.0,4654.725638,,,,,,,,,,,,,,,,,,,,,,,
10323,65342.0,1.754632428,4.611931274,3.496914731,1626.720565,21,8.372438427,152.0180549,14.61872522,1400.445045,15.67967644,1.991197137,0.006206727,0.0,0.010086241,0.0,0.024362477,1.01708096,0.000905293,0.0,1.033786874,0.0,0.000673203,0.0,0.0,0.0,0.0,0.0,0.008450375,0.000452669,0.002763939,15.81618676,1.946882216,,149.8550381,170.0742493,,,,,,,,,,,,,,,,,,,,,,,,,
10325,65346.0,1.761614616,4.652218589,3.492888663,1456.847221,21,8.440110839,154.8153052,14.62073798,1391.492349,14.44499702,0.0,0.001327757,0.0,0.014263742,0.02154053,0.034762115,0.038843798,0.001444274,0.0,0.010312326,0.007404152,0.0,0.0,0.0,0.00975186,0.0,0.009616654,0.017798148,0.0,0.00934382,15.8308569,0.048896344,,153.9966599,157.7456297,,,,,,,,,,,,,,,,,,,,,,,,,
10327,65348.0,1.756787649,4.267505058,3.495242005,1409.326362,21,8.463210619,155.1334277,14.62075206,1390.973812,14.32233394,0.025551636,0.0,0.0,0.016084769,0.009396975,0.009834611,0.032644012,0.006524292,0.0,0.01822903,0.007250271,0.0,0.0,0.0,0.0,0.0,0.009009757,0.013898155,0.007173372,0.0,15.90942616,0.027366151,,157.0347652,157.7709328,,,,,,,,,,,,,,,,,,,,,,,,,
10416,65389.0,1.799118017,4.215255123,3.404695989,1322.719912,21,8.510633719,155.2116897,14.62091942,1403.736616,15.5364835,0.996273702,0.007651178,0.0,0.0,0.0,0.058016954,2.056048708,0.0,0.0,0.0,0.004238493,0.002299043,0.0,0.002414069,0.0088627,0.0,0.005338589,0.0,0.00095317,0.008300919,15.2499065,0.978842077,,158.9329385,149.8428351,,,,,,,,,,,,,,,,,,,,,,,,,
10435,,1.787146976,4.091955529,3.466415575,1516.790474,21,8.413782606,154.0080641,14.62079521,1400.564777,14.21596252,0.978099863,0.0,0.0,0.0,0.0,0.040535701,1.044689846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00296146,0.0,0.0,0.010680669,0.000440567,0.009077988,15.76072489,1.030128011,64220.57136,158.1203322,154.9405387,1420.0,4156.093996,,,,,,,,,,,,,,,,,,,,,,,
10459,65398.0,1.77653407,4.251253934,3.509138787,1327.689306,21,8.511603678,155.0143635,14.61981529,1401.36654,15.20206214,0.0,0.005973942,0.0,0.005124134,0.019934159,0.0,0.0,0.0,0.0,1.983282108,0.0,0.00503573,0.0,0.000317913,0.0,0.0,0.016285961,0.003731949,0.0,0.0,14.510583,0.006422187,64199.49904,159.9605925,153.8851704,1420.319353,6869.776872,,,,,,,,,,,,,,,,,,,,,,,
10490,65410.0,1.770028856,4.635155929,3.491164073,1349.79524,21,8.503518129,157.7904628,14.63068166,1418.837412,11.25170229,0.043429507,0.000535386,0.0,0.00935423,0.0,0.002944165,0.994259535,0.009341537,0.0,0.004658728,0.0,0.00976504,0.0,0.0,0.0,0.0,0.0,0.006508616,0.0,0.0,12.81015156,0.03517641,,152.841927,162.9655354,,,,,,,,,,,,,,,,,,,,,,,,,
10492,65412.0,1.768116488,4.538647311,3.457708741,1341.407902,21,8.502805702,157.1801668,14.65098271,1424.534332,12.36265827,0.0,0.002160359,0.0,0.0,0.007438433,0.0,0.940251846,0.0,0.0,0.0,0.007148742,0.006415416,0.0,0.00314076,0.004672645,0.0,0.007022936,0.00702991,0.0,0.007488239,11.96389059,0.0,,154.299765,161.9381444,,,,,,,,,,,,,,,,,,,,,,,,,
10536,65400.0,1.768973871,4.347637261,3.504784605,1281.82088,21,8.543712751,157.1296539,14.65123594,1414.822021,12.29273471,0.0,0.0,0.0,0.0,0.003487663,0.0,1.022838447,0.0,0.0,0.985265288,0.0,0.0,0.0,0.009933836,0.002060845,0.0,0.0,0.016418023,0.00280374,0.0,11.96455086,0.053559914,,152.7849789,161.8636965,,,,,,,,,,,,,,,,,,,,,,,,,
